WIN,LOSS
Binghamton: Cohn & Guizatoullina,UMass Amherst: Janvier & Mukherjee
Binghamton: Cohn & Santora,Emory: Feldman & Waghray
Binghamton: Cohn & Santora,Emory: Feldman & Waghray
Binghamton: Cohn & Santora,Houston: Abad & Regassa
Binghamton: Cohn & Santora,Houston: Dubey & Wang
Binghamton: Cohn & Santora,James Madison: Balda & Rinehart
Binghamton: Cohn & Santora,James Madison: Mishra & Oehler
Binghamton: Cohn & Santora,Kansas: Wilkus & Williams
Binghamton: Cohn & Santora,Kansas: Willingham & Yang
Binghamton: Cohn & Santora,Macalester: Kochel & Williams
Binghamton: Cohn & Santora,Michigan State: Gearring & Zi
Binghamton: Cohn & Santora,Missouri State: Abdelhakiem & Kimmerle
Binghamton: Cohn & Santora,Northwestern: Ramesh & Ye
Binghamton: Cohn & Santora,NYU: Ku & Toussaint
Binghamton: Cohn & Santora,UC Berkeley: Fleming & Tsan
Binghamton: Datel & Suben,Dartmouth: He & Vazquez Torres
Binghamton: Datel & Suben,Emory: Bedi & Wallen
Binghamton: Engler & Mah,Army: McGee & Reenan
Binghamton: Engler & Mah,Binghamton: Frank & Thomas
Binghamton: Engler & Mah,Houston: Russell & Varughese
Binghamton: Frank & Thomas,Army: Ntumy & Walker
Binghamton: Frank & Thomas,Binghamton: Caron & Cassetta-Unrath
Binghamton: Frank & Thomas,Binghamton: Engler & Mah
Binghamton: Frank & Thomas,Binghamton: Schwartz & Ward
Binghamton: Hirsh & Stiller,Binghamton: Frank & Thomas
Binghamton: Hirsh & Stiller,Binghamton: Langsdorf & Wyble
Binghamton: Jimenez & Trudell,Rochester: Emrich & Wang
Binghamton: Jimenez & Trudell,Rochester: Okoase & Rosenblut
Binghamton: Jimenez & Trudell,Rochester: Roberts & Sookoo
Binghamton: King & Treulich,Cornell: Baskin & Casella
Binghamton: King & Treulich,Liberty: Bridges & Jensen
Binghamton: King & Treulich,Rochester: Emrich & Nie
Binghamton: Marin & Picallo,Baylor: Camp & Pertuit
Binghamton: Marin & Picallo,Baylor: Chatur & Keeler
Binghamton: Marin & Picallo,Baylor: Darwish & Hudson
Binghamton: Marin & Picallo,Cornell: Lea & Lim
Binghamton: Marin & Picallo,Emory: Doubledee & Satovsky
Binghamton: Marin & Picallo,Georgetown: Cowan & White
Binghamton: Marin & Picallo,Houston: Dubey & Wang
Binghamton: Marin & Picallo,James Madison: Balda & Rinehart
Binghamton: Marin & Picallo,James Madison: Mishra & Oehler
Binghamton: Marin & Picallo,Kansas State: Robertson & Turner
Binghamton: Marin & Picallo,Kansas: Schultz & Suleman
Binghamton: Marin & Picallo,Liberty: Hamilton & Short
Binghamton: Marin & Picallo,Liberty: Hamilton & Short
Binghamton: Marin & Picallo,Michigan: Bloom & Simha
Binghamton: Marin & Picallo,Navy: Connor & Rea
Binghamton: Marin & Picallo,New School: Chaturvedi & Kpade
Binghamton: Marin & Picallo,Northwestern: Agbede & Rubin
Binghamton: Marin & Picallo,Wyoming: Swidecki & Willson
Binghamton: Marin & Santora,Army: Opron & Shatilenko
Binghamton: Marin & Santora,Boston College: Carter & Cheek
Binghamton: Marin & Santora,Boston College: Carter & Cheek
Binghamton: Marin & Santora,Boston College: Cheek & Gleason
Binghamton: Marin & Santora,Boston College: Cheek & Hua
Binghamton: Marin & Santora,Central Oklahoma: Wendland & Williams
Binghamton: Marin & Santora,Dartmouth: Laurent & Vazquez Torres
Binghamton: Marin & Santora,Emory: Doubledee & Satovsky
Binghamton: Marin & Santora,Emory: Poe & Rice
Binghamton: Marin & Santora,Emporia State: Krambeer & Reed-Valizan
Binghamton: Marin & Santora,George Mason: Brown & Jambunathan
Binghamton: Marin & Santora,Harvard: Dixon & Yeshitila
Binghamton: Marin & Santora,Harvard: Gines & Ogbogu
Binghamton: Marin & Santora,Harvard: Gines & Ogbogu
Binghamton: Marin & Santora,Harvard: Kundu & Li
Binghamton: Marin & Santora,Harvard: Kundu & Yeboah
Binghamton: Marin & Santora,Houston: Hoxha & Khan
Binghamton: Marin & Santora,Houston: Kidd & Nguyen
Binghamton: Marin & Santora,Indiana: Fish & Hoham
Binghamton: Marin & Santora,Iowa: Bennett & Chen
Binghamton: Marin & Santora,James Madison: Brown & Conway
Binghamton: Marin & Santora,James Madison: Brown & Conway
Binghamton: Marin & Santora,James Madison: Pelletier & Rinehart
Binghamton: Marin & Santora,Kansas: Mantis & Pieropan
Binghamton: Marin & Santora,Minnesota: Amundsen & Munson
Binghamton: Marin & Santora,Minnesota: Johnson & Sun
Binghamton: Marin & Santora,Minnesota: Johnson & Sun
Binghamton: Marin & Santora,Missouri State: Burns & Shew
Binghamton: Marin & Santora,Navy: Korlacki & Rock
Binghamton: Marin & Santora,New School: Butler & Lima Boudakian
Binghamton: Marin & Santora,New School: Chaturvedi & Muste
Binghamton: Marin & Santora,Northwestern: Chuang & Pacconi
Binghamton: Marin & Santora,NYU: Layden & Modi
Binghamton: Marin & Santora,NYU: Makinde & Saigal
